CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1000,Male,1,Yes,Yes,51,No,No,One year,Credit card,100.49,5201.68,No
CUST1001,Female,0,No,No,70,No,DSL,Month-to-month,Credit card,21.8,1515.66,No
CUST1002,Male,0,No,No,6,Yes,DSL,Month-to-month,Mailed check,116.28,699.77,Yes
CUST1003,Male,0,Yes,No,67,Yes,DSL,Month-to-month,Mailed check,92.67,6234.21,No
CUST1004,Male,1,Yes,Yes,7,No,DSL,One year,Bank transfer,50.48,438.64,No
CUST1005,Female,0,No,No,51,Yes,DSL,Two year,Credit card,102.94,5153.76,No
CUST1006,Male,0,No,Yes,72,Yes,DSL,One year,Bank transfer,48.15,3462.17,Yes
CUST1007,Male,0,Yes,No,42,No,Fiber optic,One year,Mailed check,107.28,4543.3,Yes
CUST1008,Male,0,Yes,Yes,64,Yes,Fiber optic,One year,Mailed check,31.26,2045.18,No
CUST1009,Female,0,No,Yes,15,Yes,Fiber optic,Month-to-month,Bank transfer,90.37,1394.06,No
CUST1010,Male,0,Yes,Yes,29,Yes,Fiber optic,Month-to-month,Electronic check,74.07,2074.92,Yes
CUST1011,Male,0,Yes,No,33,No,No,One year,Bank transfer,29.65,938.33,No
CUST1012,Male,0,Yes,No,27,No,Fiber optic,Two year,Mailed check,44.19,1164.87,No
CUST1013,Male,0,No,No,36,No,No,Month-to-month,Bank transfer,21.24,825.53,Yes
CUST1014,Female,0,No,No,29,Yes,Fiber optic,One year,Electronic check,66.88,1895.27,No
CUST1015,Male,0,No,Yes,38,Yes,Fiber optic,Month-to-month,Bank transfer,50.13,1847.08,No
CUST1016,Female,0,No,No,57,Yes,DSL,Month-to-month,Mailed check,79.84,4642.37,Yes
CUST1017,Female,0,No,No,27,Yes,DSL,Month-to-month,Bank transfer,49.72,1244.21,No
CUST1018,Female,0,No,Yes,55,Yes,DSL,Month-to-month,Electronic check,49.99,2849.01,Yes
CUST1019,Male,0,No,Yes,33,Yes,DSL,One year,Bank transfer,94.32,3147.92,No
CUST1020,Female,0,Yes,Yes,68,Yes,DSL,Month-to-month,Bank transfer,24.81,1752.77,No
CUST1021,Male,0,Yes,No,66,Yes,Fiber optic,One year,Bank transfer,110.29,7238.06,Yes
CUST1022,Female,0,Yes,Yes,10,Yes,No,One year,Bank transfer,105.23,955.16,No
CUST1023,,0,Yes,Yes,5,Yes,No,Two year,Bank transfer,86.78,481.47,No
CUST1024,Female,0,Yes,Yes,38,Yes,DSL,Month-to-month,Credit card,79.32,3080.99,No
CUST1025,Female,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Electronic check,109.23,1468.09,No
CUST1026,Female,0,Yes,Yes,31,Yes,DSL,Month-to-month,Credit card,38.53,1123,Yes
CUST1027,Female,0,No,No,47,Yes,Fiber optic,Two year,Mailed check,27.9,1361.99,No
CUST1028,Female,1,No,No,52,Yes,Fiber optic,Two year,Electronic check,43.95,2339.18,No
CUST1029,Female,0,Yes,Yes,56,Yes,Fiber optic,Month-to-month,Electronic check,99.46,5601.47,Yes
CUST1030,Male,0,Yes,Yes,15,Yes,DSL,Two year,Electronic check,23.47,405.27,No
CUST1031,Male,0,No,No,29,Yes,No,Month-to-month,Bank transfer,78.28,2339.3,No
CUST1032,Female,1,Yes,Yes,8,Yes,DSL,One year,Bank transfer,119.54,979.04,No
CUST1033,Female,1,Yes,Yes,5,Yes,DSL,Month-to-month,Bank transfer,105.57,445.57,No
CUST1034,Female,0,No,No,29,Yes,Fiber optic,One year,Mailed check,72.14,2089.59,No
CUST1035,Male,0,Yes,No,47,Yes,Fiber optic,Month-to-month,Mailed check,26.36,1154.45,No
CUST1036,Female,0,No,Yes,68,Yes,Fiber optic,Two year,Electronic check,103.14,6995.03,Yes
CUST1037,Male,0,Yes,No,45,Yes,No,One year,Electronic check,79.9,3576.92,No
CUST1038,Male,0,No,Yes,2,Yes,Fiber optic,One year,Mailed check,31.49,0,No
CUST1039,Male,0,No,Yes,27,Yes,No,Month-to-month,Electronic check,29.39,763.29,No
CUST1040,Male,0,No,Yes,36,Yes,DSL,Month-to-month,Electronic check,110.96,3916.76,Yes
CUST1041,Male,1,Yes,No,36,No,Fiber optic,Month-to-month,Bank transfer,86.92,3190.77,Yes
CUST1042,Female,1,No,Yes,26,Yes,DSL,Month-to-month,Bank transfer,102.93,2765.72,No
CUST1043,Female,0,Yes,Yes,43,No,DSL,Month-to-month,Credit card,107.9,4554.16,Yes
CUST1044,Female,0,Yes,Yes,27,Yes,No,Two year,Credit card,77.18,2174.88,No
